,Player▲,Squad,90s,Gls,Ast,G+A,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90
503,Julian Chabot,Sampdoria,5.4,0,0,0.0,0.1,0.1,0.0,0.1,0.02,0.0,0.02,0.02,0.02
504,El Chadaille Bitshiabu,Paris S-G,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
505,Nassim Chadli,Troyes,1.1,0,0,0.0,0.2,0.2,0.0,0.2,0.19,0.03,0.21,0.19,0.21
506,Kayky Chagas,Manchester City,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507,Mehdi Chahiri,Strasbourg,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
508,Trevoh Chalobah,Chelsea,16.1,3,1,0.25,1.0,1.0,0.2,1.2,0.06,0.01,0.08,0.06,0.08
509,Calum Chambers,Aston Villa,9.2,1,0,0.11,0.2,0.2,0.1,0.4,0.02,0.01,0.04,0.02,0.04
510,Calum Chambers,Arsenal,1.9,0,0,0.0,0.1,0.1,0.1,0.1,0.05,0.03,0.07,0.05,0.07
511,Dylan Chambost,Troyes,8.4,0,1,0.12,0.5,0.5,0.6,1.1,0.06,0.07,0.13,0.06,0.13
512,Timothy Chandler,Eint Frankfurt,13.5,0,0,0.0,0.5,0.5,0.6,1.1,0.04,0.05,0.08,0.04,0.08
513,Chapela,Cádiz,4.4,0,0,0.0,0.1,0.1,0.2,0.2,0.02,0.03,0.05,0.02,0.05
